iter	RMSE
1814	0.07815439543
1815	0.07812905288
1816	0.07810148103
1817	0.07808412381
1818	0.07807448549
1819	0.07807085793
1820	0.07805855905
1821	0.0780432507
1822	0.07801128248
1823	0.07800951513
1824	0.07799100078
1825	0.07797752196
1826	0.0779619743
1827	0.07793546755
1828	0.0779006425
1829	0.07788783616
1830	0.07787414997
1831	0.07784857232
1832	0.07784622345
1833	0.07782639107
1834	0.07780822803
1835	0.07777714183
1836	0.07775177914
1837	0.07774969532
1838	0.07773274565
1839	0.07771023895
1840	0.07769391782
1841	0.07768163104
1842	0.07768035497
1843	0.07765188462
1844	0.07764932574
1845	0.07761434182
1846	0.07759125929
1847	0.07758643271
1848	0.07757472327
1849	0.07754853558
1850	0.07751589235
1851	0.07749709896
1852	0.07748949673
1853	0.07747990877
1854	0.07745911467
1855	0.07744187405
1856	0.07740729975
1857	0.07738633132
1858	0.07736753208
1859	0.07733973146
1860	0.07732488245
1861	0.07730945185
1862	0.07729146161
1863	0.07725891549
1864	0.07721608751
1865	0.07719159175
1866	0.07715434894
1867	0.07714849725
1868	0.07712549315
1869	0.07711015222
1870	0.07710506368
1871	0.07709497253
1872	0.07706782481
1873	0.0770560082
1874	0.07704984162
1875	0.07702275402
1876	0.07700418593
1877	0.07695339721
1878	0.0769427391
1879	0.07692497129
1880	0.07690430056
1881	0.0768809242
1882	0.07685286346
1883	0.0768252134
1884	0.07681880646
1885	0.07679486967
1886	0.07676731274
1887	0.07676597916
1888	0.07672301169
1889	0.07669762231
1890	0.0766887491
1891	0.07668515353
1892	0.07667129435
1893	0.07666724229
1894	0.07661848471
1895	0.07660371216
1896	0.07660112789
1897	0.07657231176
1898	0.07655118515
1899	0.07651447634
1900	0.07650935776
1901	0.07649533991
1902	0.07646225356
1903	0.07644980585
1904	0.07644887396
1905	0.07641404653
1906	0.07640135895
1907	0.07637345014
1908	0.07636451247
1909	0.07635170666
1910	0.07632924341
1911	0.0763166848
1912	0.07631078951
1913	0.07630207763
1914	0.07629971218
1915	0.0762776364
1916	0.07626607529
1917	0.07622941816
1918	0.07622746128
1919	0.07620778456
1920	0.07617996113
1921	0.07617159189
1922	0.07614866064
1923	0.07614187807
1924	0.07610099218
1925	0.07609841755
1926	0.07607812496
1927	0.07606316681
1928	0.07603511783
1929	0.07600363017
1930	0.07599185731
1931	0.0759671198
1932	0.07593988476
1933	0.07593654223
1934	0.07591355745
1935	0.07587815486
1936	0.07586651903
1937	0.07583132397
1938	0.0758032704
1939	0.07579506383
1940	0.07577089451
1941	0.07574244309
1942	0.07572268277
1943	0.07571313524
1944	0.07570921913
1945	0.0757060779
1946	0.07566966786
1947	0.07562574035
1948	0.0755860587
1949	0.07553691591
1950	0.07552089557
1951	0.07549914853
1952	0.07547906368
1953	0.07545631783
1954	0.07543871418
1955	0.07542598824
1956	0.07542010698
1957	0.07538476174
1958	0.07534940733
1959	0.07534542366
1960	0.07533989328
1961	0.07532409622
1962	0.07532263682
1963	0.07529621224
1964	0.0752925538
1965	0.07528815682
1966	0.07526229752
1967	0.07524776362
1968	0.07521758615
1969	0.07521365549
1970	0.07518013742
1971	0.07514121703
1972	0.07512046828
1973	0.07511607026
1974	0.07508890631
1975	0.07505840714
1976	0.07505116045
1977	0.07504122432
1978	0.07503513427
1979	0.07501566236
1980	0.07499522718
1981	0.07495451299
1982	0.07495211352
1983	0.07493929347
1984	0.07491486315
1985	0.0748934057
1986	0.07484038293
1987	0.07482620333
1988	0.0747860748
1989	0.07475714072
1990	0.07473817154
1991	0.0747323248
1992	0.07471750145
1993	0.07471490834
1994	0.07469671952
1995	0.07469011561
1996	0.07467633301
1997	0.07466358009
1998	0.07465530236
1999	0.07464592967
2000	0.07464363553
2001	0.07463476931
2002	0.07463127786
2003	0.07462864258
2004	0.07462086792
2005	0.07461869897
2006	0.07461614598
2007	0.07461386647
2008	0.07458622765
2009	0.07458346717
2010	0.07455561317
2011	0.07454176303
2012	0.07450619085
2013	0.07449014796
2014	0.07445508545
2015	0.07443347378
2016	0.07442777262
2017	0.07442428454
2018	0.07442144202
2019	0.07441891078
2020	0.074405405
2021	0.0743986728
2022	0.0743626823
2023	0.07435970264
2024	0.07435176009
2025	0.07432866031
2026	0.07432157462
2027	0.07431513816
2028	0.07431188242
2029	0.07428589589
2030	0.07428137783
2031	0.07425626331
2032	0.07425422176
2033	0.07425001642
2034	0.07422993475
2035	0.07422992332
2036	0.07418609444
2037	0.07418464315
2038	0.07417979393
2039	0.07415817714
2040	0.07415264065
2041	0.07414325862
2042	0.07413098928
2043	0.07411742503
2044	0.0741149971
2045	0.07409836042
2046	0.07409425493
2047	0.07404716032
2048	0.07401420224
2049	0.07399507172
2050	0.0739689261
2051	0.07395790224
2052	0.07395084554
2053	0.07393990036
2054	0.07391952721
2055	0.07390685208
2056	0.07389916849
2057	0.07389611223
2058	0.07388728797
2059	0.0738733496
2060	0.07387237577
2061	0.07385567174
2062	0.07383246384
2063	0.07381044742
2064	0.07378606848
2065	0.07375963445
2066	0.07373857698
2067	0.07371992177
2068	0.07371263872
2069	0.07369682255
2070	0.07366597414
2071	0.07364702706
2072	0.07363966419
2073	0.07362914812
2074	0.07362360951
2075	0.07361447313
2076	0.07360915926
2077	0.0735992713
2078	0.07359419499
2079	0.07359206887
2080	0.07357854205
2081	0.0735658388
2082	0.07353645215
2083	0.07353190555
2084	0.07349873884
2085	0.07347707369
2086	0.07343127077
2087	0.07342738993
2088	0.0734137949
2089	0.07340405084
2090	0.07338039411
2091	0.07337747742
2092	0.07337532596
2093	0.07336457813
2094	0.07335800429
2095	0.07335267612
2096	0.07332230157
2097	0.07331928848
2098	0.07331678545
2099	0.07330419357
2100	0.07327969242
2101	0.07326751802
2102	0.07326500715
2103	0.0732401096
2104	0.07320691366
2105	0.07320454955
2106	0.07317164809
2107	0.07313281569
2108	0.07312807142
2109	0.07311035799
2110	0.07310589659
2111	0.07309209961
2112	0.07308989427
2113	0.0730761821
2114	0.07307428693
2115	0.07305466725
2116	0.07304351825
2117	0.07304119205
2118	0.07302674551
2119	0.0729843099
2120	0.07297467916
2121	0.072965553
2122	0.07295492927
2123	0.0729447181
2124	0.07293076801
2125	0.07292734008
2126	0.07291912764
2127	0.07289456907
2128	0.07286337088
2129	0.07283704099
2130	0.07282110287
2131	0.07277971563
2132	0.07276476406
2133	0.07274054512
2134	0.0727169475
2135	0.0727152484
2136	0.0727124024
2137	0.07270552801
2138	0.07268905336
2139	0.07265682269
2140	0.07265498766
2141	0.07264853203
2142	0.07262105696
2143	0.0726161034
2144	0.07260827641
2145	0.07260424681
2146	0.07258872411
2147	0.07258299078
2148	0.07258201873
2149	0.07257976431
2150	0.07256789537
2151	0.07256194309
2152	0.07253645675
2153	0.07251798715
2154	0.07251657779
2155	0.07249112834
2156	0.07247972723
2157	0.07246340977
2158	0.07245425636
2159	0.0724477098
2160	0.07242694926
2161	0.07242386177
2162	0.07242211003
2163	0.0723978054
2164	0.07238224549
2165	0.07237980454
2166	0.07237034303
2167	0.07234776098
2168	0.07234686418
2169	0.07232846589
2170	0.07232539611
2171	0.07231507976
2172	0.07231266834
2173	0.07229049596
2174	0.07227008707
2175	0.07226284139
2176	0.07224844759
2177	0.07224111115
2178	0.07221487454
2179	0.07221214001
2180	0.07217865057
2181	0.07217677336
2182	0.07217509437
2183	0.07214226519
2184	0.07212828903
2185	0.07212171583
2186	0.07211760367
2187	0.0721053658
2188	0.07209752369
2189	0.07207191719
2190	0.07206213244
2191	0.07204432425
2192	0.07203616801
2193	0.07199881833
2194	0.07195278491
2195	0.07193979823
2196	0.07192920697
2197	0.07191168157
2198	0.07188139465
2199	0.07186401297
2200	0.07185119339
2201	0.07183370433
2202	0.07182934229
2203	0.07180003441
2204	0.0717975791
2205	0.07179672305
2206	0.07179227261
2207	0.07177531161
2208	0.07175108644
2209	0.07174997627
2210	0.0717265947
2211	0.07171783331
2212	0.07171555496
2213	0.07171355238
2214	0.07167013369
2215	0.07162347482
2216	0.07157614613
2217	0.07156978309
2218	0.07155590849
2219	0.07153922576
2220	0.07151144914
2221	0.07149422396
2222	0.0714760405
2223	0.0714718612
2224	0.07146887014
2225	0.0714513108
2226	0.07144864506
2227	0.07143896836
2228	0.07143756423
2229	0.07140854925
2230	0.07136088663
2231	0.0713536214
2232	0.07135158615
2233	0.07133250675
2234	0.07129708705
2235	0.07128783508
2236	0.07125176755
2237	0.07124579873
2238	0.07124191403
2239	0.07124048112
2240	0.07123806854
2241	0.07121978943
2242	0.07120271801
2243	0.07119973319
2244	0.0711720119
2245	0.07116519121
2246	0.07116315474
2247	0.07116009121
2248	0.07115385998
2249	0.07114954379
